date,country_name,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,mobility_transit_stations,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_residential,mobility_workplaces,latitude,longitude,location_geometry,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,school_closing,school_closing_flag,workplace_closing,workplace_closing_flag,cancel_public_events,cancel_public_events_flag,restrictions_on_gatherings,restrictions_on_gatherings_flag,close_public_transit,close_public_transit_flag,stay_at_home_requirements,stay_at_home_requirements_flag,restrictions_on_internal_movement,restrictions_on_internal_movement_flag,international_travel_controls,income_support,income_support_flag,debt_contract_relief,fiscal_measures,international_support,public_information_campaigns,public_information_campaigns_flag,testing_policy,contact_tracing,emergency_healthcare_investment,vaccine_investment,misc_wildcard,confirmed_cases,deaths,stringency_index,mobility_transit_stations_response,mobility_retail_and_recreation_response,mobility_grocery_and_pharmacy_response,mobility_parks_response,mobility_residential_response,mobility_workplaces_response
2020-02-15,Egypt,0,0.0,0.0,5.0,0.0,8.0,4.0,8.0,9.0,0.0,5.0,27.0,29.0,POINT(29 27),17.577778,9.011111,25.755556,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,1.0,2.0,0.0,0.0,,1.0,0.0,0.0,7.0,-1.0,5.0,4.0,-1.0,10.0
2020-02-16,Egypt,0,0.0,0.0,5.0,0.0,7.0,-1.0,5.0,4.0,-1.0,10.0,27.0,29.0,POINT(29 27),15.922222,9.444444,21.955556,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,1.0,2.0,0.0,0.0,,1.0,0.0,0.0,4.0,0.0,3.0,6.0,-1.0,15.0
2020-02-17,Egypt,0,0.0,0.0,5.0,0.0,4.0,0.0,3.0,6.0,-1.0,15.0,27.0,29.0,POINT(29 27),15.277778,8.555556,21.244444,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,1.0,2.0,0.0,0.0,,1.0,0.0,0.0,5.0,0.0,4.0,2.0,-1.0,12.0
2020-02-18,Egypt,0,0.0,0.0,5.0,0.0,5.0,0.0,4.0,2.0,-1.0,12.0,27.0,29.0,POINT(29 27),15.322222,10.0,21.477778,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,1.0,2.0,0.0,0.0,,1.0,0.0,0.0,2.0,-5.0,0.0,0.0,0.0,10.0
2020-02-19,Egypt,0,0.0,0.0,5.0,0.0,2.0,-5.0,0.0,0.0,0.0,10.0,27.0,29.0,POINT(29 27),15.211110999999999,10.277778,20.4,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,1.0,2.0,0.0,0.0,,1.0,0.0,0.0,0.0,-5.0,-2.0,-5.0,0.0,9.0
2020-02-20,Egypt,0,0.0,0.0,5.0,0.0,0.0,-5.0,-2.0,-5.0,0.0,9.0,27.0,29.0,POINT(29 27),14.888889,7.933333,21.877778,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,1.0,2.0,0.0,0.0,,1.0,0.0,0.0,8.0,6.0,6.0,15.0,2.0,6.0
2020-02-21,Egypt,0,0.0,0.0,5.0,0.0,8.0,6.0,6.0,15.0,2.0,6.0,27.0,29.0,POINT(29 27),15.988889000000002,8.6,22.377778,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,1.0,2.0,0.0,0.0,,1.0,0.0,0.0,5.0,0.0,4.0,5.0,0.0,5.0
2020-02-22,Egypt,0,0.0,0.0,5.0,0.0,5.0,0.0,4.0,5.0,0.0,5.0,27.0,29.0,POINT(29 27),15.233332999999998,9.7,20.433332999999998,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,1.0,2.0,0.0,0.0,,1.0,0.0,0.0,4.0,-5.0,0.0,-1.0,-1.0,10.0
2020-02-23,Egypt,0,0.0,0.0,5.0,0.0,4.0,-5.0,0.0,-1.0,-1.0,10.0,27.0,29.0,POINT(29 27),14.366667000000001,7.277778,21.2,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,1.0,2.0,0.0,0.0,,1.0,0.0,0.0,2.0,-13.0,-11.0,-2.0,1.0,11.0
2020-02-24,Egypt,0,0.0,0.0,5.0,0.0,2.0,-13.0,-11.0,-2.0,1.0,11.0,27.0,29.0,POINT(29 27),12.555556,8.444444,17.355556,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,1.0,2.0,0.0,0.0,,1.0,0.0,0.0,-9.0,-9.0,-3.0,-9.0,6.0,-8.0
2020-02-25,Egypt,0,0.0,0.0,5.0,0.0,-9.0,-9.0,-3.0,-9.0,6.0,-8.0,27.0,29.0,POINT(29 27),13.577778,6.9,20.044444,0.8128,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,1.0,2.0,0.0,0.0,,1.0,0.0,0.0,6.0,0.0,4.0,4.0,-1.0,11.0
2020-02-26,Egypt,0,0.0,0.0,5.0,0.0,6.0,0.0,4.0,4.0,-1.0,11.0,27.0,29.0,POINT(29 27),15.355556,7.011111,23.3,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,1.0,2.0,0.0,0.0,,1.0,0.0,0.0,6.0,1.0,5.0,1.0,-1.0,11.0
