date,location_key,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested,new_hospitalized_patients,new_intensive_care_patients,new_ventilator_patients,cumulative_hospitalized_patients,cumulative_intensive_care_patients,cumulative_ventilator_patients,current_hospitalized_patients,current_intensive_care_patients,current_ventilator_patients,mobility_transit_stations,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_residential,mobility_workplaces,wikidata_id,datacommons_id,openstreetmap_id,latitude,longitude,location_geometry,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm
2020-01-01,FR_IDF_75,FR,France,IDF,Île-de-France,75,Paris,FR,FRA,2,,,,,,,,,,,,,,,,,,,,,,,,Q90,,7444,48.856944,2.351389,POINT(2.351389 48.856944),,,,,
2020-01-02,FR_IDF_75,FR,France,IDF,Île-de-France,75,Paris,FR,FRA,2,,,,,,,,,,,,,,,,,,,,,,,,Q90,,7444,48.856944,2.351389,POINT(2.351389 48.856944),,,,,
2020-01-03,FR_IDF_75,FR,France,IDF,Île-de-France,75,Paris,FR,FRA,2,,,,,,,,,,,,,,,,,,,,,,,,Q90,,7444,48.856944,2.351389,POINT(2.351389 48.856944),,,,,
2020-01-04,FR_IDF_75,FR,France,IDF,Île-de-France,75,Paris,FR,FRA,2,,,,,,,,,,,,,,,,,,,,,,,,Q90,,7444,48.856944,2.351389,POINT(2.351389 48.856944),,,,,
2020-01-05,FR_IDF_75,FR,France,IDF,Île-de-France,75,Paris,FR,FRA,2,,,,,,,,,,,,,,,,,,,,,,,,Q90,,7444,48.856944,2.351389,POINT(2.351389 48.856944),,,,,
2020-01-06,FR_IDF_75,FR,France,IDF,Île-de-France,75,Paris,FR,FRA,2,,,,,,,,,,,,,,,,,,,,,,,,Q90,,7444,48.856944,2.351389,POINT(2.351389 48.856944),,,,,
2020-01-07,FR_IDF_75,FR,France,IDF,Île-de-France,75,Paris,FR,FRA,2,,,,,,,,,,,,,,,,,,,,,,,,Q90,,7444,48.856944,2.351389,POINT(2.351389 48.856944),,,,,
2020-01-08,FR_IDF_75,FR,France,IDF,Île-de-France,75,Paris,FR,FRA,2,,,,,,,,,,,,,,,,,,,,,,,,Q90,,7444,48.856944,2.351389,POINT(2.351389 48.856944),,,,,
2020-01-09,FR_IDF_75,FR,France,IDF,Île-de-France,75,Paris,FR,FRA,2,,,,,,,,,,,,,,,,,,,,,,,,Q90,,7444,48.856944,2.351389,POINT(2.351389 48.856944),,,,,
2020-01-10,FR_IDF_75,FR,France,IDF,Île-de-France,75,Paris,FR,FRA,2,,,,,,,,,,,,,,,,,,,,,,,,Q90,,7444,48.856944,2.351389,POINT(2.351389 48.856944),,,,,
2020-01-11,FR_IDF_75,FR,France,IDF,Île-de-France,75,Paris,FR,FRA,2,,,,,,,,,,,,,,,,,,,,,,,,Q90,,7444,48.856944,2.351389,POINT(2.351389 48.856944),,,,,
2020-01-12,FR_IDF_75,FR,France,IDF,Île-de-France,75,Paris,FR,FRA,2,,,,,,,,,,,,,,,,,,,,,,,,Q90,,7444,48.856944,2.351389,POINT(2.351389 48.856944),,,,,
2020-01-13,FR_IDF_75,FR,France,IDF,Île-de-France,75,Paris,FR,FRA,2,,,,,,,,,,,,,,,,,,,,,,,,Q90,,7444,48.856944,2.351389,POINT(2.351389 48.856944),,,,,
2020-01-14,FR_IDF_75,FR,France,IDF,Île-de-France,75,Paris,FR,FRA,2,,,,,,,,,,,,,,,,,,,,,,,,Q90,,7444,48.856944,2.351389,POINT(2.351389 48.856944),,,,,
2020-01-15,FR_IDF_75,FR,France,IDF,Île-de-France,75,Paris,FR,FRA,2,,,,,,,,,,,,,,,,,,,,,,,,Q90,,7444,48.856944,2.351389,POINT(2.351389 48.856944),,,,,
