date,location_key,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested,new_hospitalized_patients,new_intensive_care_patients,new_ventilator_patients,cumulative_hospitalized_patients,cumulative_intensive_care_patients,cumulative_ventilator_patients,current_hospitalized_patients,current_intensive_care_patients,current_ventilator_patients,mobility_transit_stations,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_residential,mobility_workplaces,wikidata_id,datacommons_id,openstreetmap_id,latitude,longitude,location_geometry,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm
2020-01-01,DE_BE,DE,Germany,BE,Berlin,,,DE,DEU,1,,,,,,,,,,,,,,,,,,,,,,,,Q64,nuts/DE3,62422,52.516667,13.383333,POINT(13.383333 52.516667),1.580247,-2.574074,5.259259,0.0,
2020-01-02,DE_BE,DE,Germany,BE,Berlin,,,DE,DEU,1,,,,,,,,,,,,,,,,,,,,,,,,Q64,nuts/DE3,62422,52.516667,13.383333,POINT(13.383333 52.516667),0.65,-3.05,5.838889,0.0,
2020-01-03,DE_BE,DE,Germany,BE,Berlin,,,DE,DEU,1,,,,,,,,,,,,,,,,,,,,,,,,Q64,nuts/DE3,62422,52.516667,13.383333,POINT(13.383333 52.516667),4.122222,0.372222,6.866667,0.127,
2020-01-04,DE_BE,DE,Germany,BE,Berlin,,,DE,DEU,1,,,,,,,,,,,,,,,,,,,,,,,,Q64,nuts/DE3,62422,52.516667,13.383333,POINT(13.383333 52.516667),3.771605,1.54321,6.148148,3.4925,
2020-01-05,DE_BE,DE,Germany,BE,Berlin,,,DE,DEU,1,,,,,,,,,,,,,,,,,,,,,,,,Q64,nuts/DE3,62422,52.516667,13.383333,POINT(13.383333 52.516667),1.154321,-1.487654,3.666667,1.4605,
2020-01-06,DE_BE,DE,Germany,BE,Berlin,,,DE,DEU,1,,,,,,,,,,,,,,,,,,,,,,,,Q64,nuts/DE3,62422,52.516667,13.383333,POINT(13.383333 52.516667),3.422222,0.9,5.138889,0.084667,
2020-01-07,DE_BE,DE,Germany,BE,Berlin,,,DE,DEU,1,,,,,,,,,,,,,,,,,,,,,,,,Q64,nuts/DE3,62422,52.516667,13.383333,POINT(13.383333 52.516667),2.016667,-1.161111,4.377778,0.0635,
2020-01-08,DE_BE,DE,Germany,BE,Berlin,,,DE,DEU,1,,,,,,,,,,,,,,,,,,,,,,,,Q64,nuts/DE3,62422,52.516667,13.383333,POINT(13.383333 52.516667),5.505556,2.605556,7.588889,0.0,
2020-01-09,DE_BE,DE,Germany,BE,Berlin,,,DE,DEU,1,,,,,,,,,,,,,,,,,,,,,,,,Q64,nuts/DE3,62422,52.516667,13.383333,POINT(13.383333 52.516667),7.661111,6.127778,9.261111,1.778,
2020-01-10,DE_BE,DE,Germany,BE,Berlin,,,DE,DEU,1,,,,,,,,,,,,,,,,,,,,,,,,Q64,nuts/DE3,62422,52.516667,13.383333,POINT(13.383333 52.516667),8.894444,5.572222,10.416667,3.8735,
2020-01-11,DE_BE,DE,Germany,BE,Berlin,,,DE,DEU,1,,,,,,,,,,,,,,,,,,,,,,,,Q64,nuts/DE3,62422,52.516667,13.383333,POINT(13.383333 52.516667),3.822222,1.6,7.0,1.778,
2020-01-12,DE_BE,DE,Germany,BE,Berlin,,,DE,DEU,1,,,,,,,,,,,,,,,,,,,,,,,,Q64,nuts/DE3,62422,52.516667,13.383333,POINT(13.383333 52.516667),3.138889,-0.320988,5.851852,0.0,
2020-01-13,DE_BE,DE,Germany,BE,Berlin,,,DE,DEU,1,,,,,,,,,,,,,,,,,,,,,,,,Q64,nuts/DE3,62422,52.516667,13.383333,POINT(13.383333 52.516667),5.018519,2.234568,7.111111,0.0,
2020-01-14,DE_BE,DE,Germany,BE,Berlin,,,DE,DEU,1,,,,,,,,,,,,,,,,,,,,,,,,Q64,nuts/DE3,62422,52.516667,13.383333,POINT(13.383333 52.516667),6.222222,2.055556,9.876543,0.381,
2020-01-15,DE_BE,DE,Germany,BE,Berlin,,,DE,DEU,1,,,,,,,,,,,,,,,,,,,,,,,,Q64,nuts/DE3,62422,52.516667,13.383333,POINT(13.383333 52.516667),8.455556,5.4,12.105556,0.0,
2020-01-16,DE_BE,DE,Germany,BE,Berlin,,,DE,DEU,1,,,,,,,,,,,,,,,,,,,,,,,,Q64,nuts/DE3,62422,52.516667,13.383333,POINT(13.383333 52.516667),6.183333,2.611111,10.166667,0.0,
2020-01-17,DE_BE,DE,Germany,BE,Berlin,,,DE,DEU,1,,,,,,,,,,,,,,,,,,,,,,,,Q64,nuts/DE3,62422,52.516667,13.383333,POINT(13.383333 52.516667),4.138889,0.688889,8.116667,0.0,
2020-01-18,DE_BE,DE,Germany,BE,Berlin,,,DE,DEU,1,,,,,,,,,,,,,,,,,,,,,,,,Q64,nuts/DE3,62422,52.516667,13.383333,POINT(13.383333 52.516667),4.672222,1.938889,6.35,0.0,
2020-01-19,DE_BE,DE,Germany,BE,Berlin,,,DE,DEU,1,,,,,,,,,,,,,,,,,,,,,,,,Q64,nuts/DE3,62422,52.516667,13.383333,POINT(13.383333 52.516667),3.092593,1.432099,4.820988,0.0,
2020-01-20,DE_BE,DE,Germany,BE,Berlin,,,DE,DEU,1,,,,,,,,,,,,,,,,,,,,,,,,Q64,nuts/DE3,62422,52.516667,13.383333,POINT(13.383333 52.516667),2.08642,-1.024691,5.067901,0.0,
2020-01-21,DE_BE,DE,Germany,BE,Berlin,,,DE,DEU,1,,,,,,,,,,,,,,,,,,,,,,,,Q64,nuts/DE3,62422,52.516667,13.383333,POINT(13.383333 52.516667),1.55,-1.105556,5.544444,0.0,
2020-01-22,DE_BE,DE,Germany,BE,Berlin,,,DE,DEU,1,,,,,,,,,,,,,,,,,,,,,,,,Q64,nuts/DE3,62422,52.516667,13.383333,POINT(13.383333 52.516667),2.883333,0.122222,4.844444,0.0,
2020-01-23,DE_BE,DE,Germany,BE,Berlin,,,DE,DEU,1,,,,,,,,,,,,,,,,,,,,,,,,Q64,nuts/DE3,62422,52.516667,13.383333,POINT(13.383333 52.516667),2.466667,-1.066667,4.966667,0.0,
