date,country_name,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,mobility_transit_stations,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_residential,mobility_workplaces,latitude,longitude,location_geometry,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,school_closing,school_closing_flag,workplace_closing,workplace_closing_flag,cancel_public_events,cancel_public_events_flag,restrictions_on_gatherings,restrictions_on_gatherings_flag,close_public_transit,close_public_transit_flag,stay_at_home_requirements,stay_at_home_requirements_flag,restrictions_on_internal_movement,restrictions_on_internal_movement_flag,international_travel_controls,income_support,income_support_flag,debt_contract_relief,fiscal_measures,international_support,public_information_campaigns,public_information_campaigns_flag,testing_policy,contact_tracing,emergency_healthcare_investment,vaccine_investment,misc_wildcard,confirmed_cases,deaths,stringency_index,mobility_transit_stations_response,mobility_retail_and_recreation_response,mobility_grocery_and_pharmacy_response,mobility_parks_response,mobility_residential_response,mobility_workplaces_response
2020-02-15,India,2,,,,,2.0,-1.0,-2.0,1.0,0.0,1.0,,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,0.0,0.0,,1.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,,3.0,0.0,10.19,1.0,-6.0,-4.0,-7.0,0.0,-1.0
2020-02-16,India,2,,,,,1.0,-6.0,-4.0,-7.0,0.0,-1.0,,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,0.0,0.0,,1.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,,3.0,0.0,10.19,-2.0,-6.0,-3.0,-4.0,1.0,-1.0
2020-02-17,India,2,,,,,-2.0,-6.0,-3.0,-4.0,1.0,-1.0,,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,0.0,0.0,,1.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,,3.0,0.0,10.19,0.0,-5.0,-3.0,-3.0,0.0,0.0
2020-02-18,India,2,,,,,0.0,-5.0,-3.0,-3.0,0.0,0.0,,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,0.0,0.0,,1.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,,3.0,0.0,10.19,-12.0,-9.0,-3.0,-8.0,3.0,-12.0
2020-02-19,India,2,,,,,-12.0,-9.0,-3.0,-8.0,3.0,-12.0,,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,0.0,0.0,,1.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,,3.0,0.0,10.19,1.0,-4.0,-1.0,-3.0,0.0,-2.0
2020-02-20,India,2,,,,,1.0,-4.0,-1.0,-3.0,0.0,-2.0,,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,0.0,0.0,,1.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,,3.0,0.0,10.19,-21.0,-11.0,-7.0,2.0,6.0,-26.0
2020-02-21,India,2,,,,,-21.0,-11.0,-7.0,2.0,6.0,-26.0,,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,0.0,0.0,,1.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,,3.0,0.0,10.19,-10.0,-7.0,-6.0,-1.0,3.0,-8.0
2020-02-22,India,2,,,,,-10.0,-7.0,-6.0,-1.0,3.0,-8.0,,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,0.0,0.0,,1.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,,3.0,0.0,10.19,-3.0,-6.0,-5.0,-8.0,1.0,-1.0
2020-02-23,India,2,,,,,-3.0,-6.0,-5.0,-8.0,1.0,-1.0,,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,0.0,0.0,,1.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,,3.0,0.0,10.19,0.0,-5.0,-4.0,-6.0,1.0,0.0
2020-02-24,India,2,,,,,0.0,-5.0,-4.0,-6.0,1.0,0.0,,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,0.0,0.0,,1.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,,3.0,0.0,10.19,-2.0,-6.0,-3.0,-7.0,1.0,0.0
