date,country_name,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,mobility_transit_stations,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_residential,mobility_workplaces,latitude,longitude,location_geometry,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,school_closing,school_closing_flag,workplace_closing,workplace_closing_flag,cancel_public_events,cancel_public_events_flag,restrictions_on_gatherings,restrictions_on_gatherings_flag,close_public_transit,close_public_transit_flag,stay_at_home_requirements,stay_at_home_requirements_flag,restrictions_on_internal_movement,restrictions_on_internal_movement_flag,international_travel_controls,income_support,income_support_flag,debt_contract_relief,fiscal_measures,international_support,public_information_campaigns,public_information_campaigns_flag,testing_policy,contact_tracing,emergency_healthcare_investment,vaccine_investment,misc_wildcard,confirmed_cases,deaths,stringency_index,mobility_transit_stations_response,mobility_retail_and_recreation_response,mobility_grocery_and_pharmacy_response,mobility_parks_response,mobility_residential_response,mobility_workplaces_response
2020-02-15,Japan,1,8.0,0.0,14.0,0.0,1.0,-2.0,5.0,9.0,1.0,4.0,35.689721999999996,139.692222,POINT(139.692222 35.689722),11.820988,6.975308999999999,15.549382999999999,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,3.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,,38.0,1.0,19.44,-9.0,-13.0,-9.0,-37.0,3.0,-1.0
2020-02-16,Japan,1,5.0,0.0,19.0,0.0,-9.0,-13.0,-9.0,-37.0,3.0,-1.0,35.689721999999996,139.692222,POINT(139.692222 35.689722),9.401235,7.734567999999999,10.506173,9.144,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,3.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,,52.0,1.0,19.44,-1.0,-4.0,3.0,-2.0,0.0,1.0
2020-02-17,Japan,1,0.0,0.0,19.0,0.0,-1.0,-4.0,3.0,-2.0,0.0,1.0,35.689721999999996,139.692222,POINT(139.692222 35.689722),9.883333,4.516667,14.883332999999999,0.870857,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,3.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,,59.0,1.0,19.44,-3.0,-2.0,3.0,3.0,1.0,0.0
2020-02-18,Japan,1,3.0,0.0,22.0,0.0,-3.0,-2.0,3.0,3.0,1.0,0.0,35.689721999999996,139.692222,POINT(139.692222 35.689722),7.772222,3.666667,11.833333,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,3.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,,59.0,1.0,19.44,-5.0,-4.0,2.0,8.0,1.0,-1.0
2020-02-19,Japan,1,3.0,0.0,25.0,0.0,-5.0,-4.0,2.0,8.0,1.0,-1.0,35.689721999999996,139.692222,POINT(139.692222 35.689722),8.711111,4.288889,12.188889,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,3.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,,66.0,1.0,19.44,-5.0,-4.0,2.0,-1.0,1.0,-1.0
2020-02-20,Japan,1,0.0,0.0,25.0,0.0,-5.0,-4.0,2.0,-1.0,1.0,-1.0,35.689721999999996,139.692222,POINT(139.692222 35.689722),9.783333,5.733333,12.888889,0.0,,0.0,,0.0,,1.0,1.0,0.0,,0.0,,0.0,,0.0,,3.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,,84.0,1.0,25.0,-5.0,-4.0,2.0,0.0,2.0,-2.0
2020-02-21,Japan,1,3.0,0.0,28.0,0.0,-5.0,-4.0,2.0,0.0,2.0,-2.0,35.689721999999996,139.692222,POINT(139.692222 35.689722),10.3,6.838889,13.755556,0.0,,0.0,,0.0,,1.0,1.0,0.0,,0.0,,0.0,,0.0,,3.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,,93.0,1.0,25.0,-5.0,-9.0,0.0,-7.0,2.0,-1.0
2020-02-22,Japan,1,1.0,0.0,29.0,0.0,-5.0,-9.0,0.0,-7.0,2.0,-1.0,35.689721999999996,139.692222,POINT(139.692222 35.689722),13.011111,7.111111,17.95,0.7196670000000001,,0.0,,0.0,,1.0,1.0,0.0,,0.0,,0.0,,0.0,,3.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,,105.0,1.0,25.0,-5.0,-3.0,3.0,14.0,0.0,-1.0
2020-02-23,Japan,1,0.0,0.0,29.0,0.0,-5.0,-3.0,3.0,14.0,0.0,-1.0,35.689721999999996,139.692222,POINT(139.692222 35.689722),9.907407000000001,4.253086,15.722222,0.16933299999999998,,0.0,,0.0,,1.0,1.0,0.0,,0.0,,0.0,,0.0,,3.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,,132.0,1.0,25.0,-40.0,-5.0,-1.0,31.0,19.0,-66.0
2020-02-24,Japan,1,3.0,0.0,32.0,0.0,-40.0,-5.0,-1.0,31.0,19.0,-66.0,35.689721999999996,139.692222,POINT(139.692222 35.689722),10.506173,4.611111,14.876543,0.0,,0.0,,0.0,,1.0,1.0,0.0,,0.0,,0.0,,0.0,,3.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,,144.0,1.0,25.0,-5.0,-6.0,5.0,-5.0,1.0,-1.0
