date,location_key,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested,new_hospitalized_patients,new_intensive_care_patients,new_ventilator_patients,cumulative_hospitalized_patients,cumulative_intensive_care_patients,cumulative_ventilator_patients,current_hospitalized_patients,current_intensive_care_patients,current_ventilator_patients,mobility_transit_stations,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_residential,mobility_workplaces,wikidata_id,datacommons_id,openstreetmap_id,latitude,longitude,location_geometry,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm
2020-01-01,GB_UKI,GB,United Kingdom,UKI,Greater London,,,GB,GBR,1,,,,,,,,,,,,,,,,,,,,,,,,Q23306,nuts/UKI,65606,51.5,-0.083333,POINT(-0.083333 51.5),,,,,
2020-01-02,GB_UKI,GB,United Kingdom,UKI,Greater London,,,GB,GBR,1,,,,,,,,,,,,,,,,,,,,,,,,Q23306,nuts/UKI,65606,51.5,-0.083333,POINT(-0.083333 51.5),,,,,
2020-01-03,GB_UKI,GB,United Kingdom,UKI,Greater London,,,GB,GBR,1,,,,,,,,,,,,,,,,,,,,,,,,Q23306,nuts/UKI,65606,51.5,-0.083333,POINT(-0.083333 51.5),,,,,
2020-01-04,GB_UKI,GB,United Kingdom,UKI,Greater London,,,GB,GBR,1,,,,,,,,,,,,,,,,,,,,,,,,Q23306,nuts/UKI,65606,51.5,-0.083333,POINT(-0.083333 51.5),,,,,
2020-01-05,GB_UKI,GB,United Kingdom,UKI,Greater London,,,GB,GBR,1,,,,,,,,,,,,,,,,,,,,,,,,Q23306,nuts/UKI,65606,51.5,-0.083333,POINT(-0.083333 51.5),,,,,
2020-01-06,GB_UKI,GB,United Kingdom,UKI,Greater London,,,GB,GBR,1,,,,,,,,,,,,,,,,,,,,,,,,Q23306,nuts/UKI,65606,51.5,-0.083333,POINT(-0.083333 51.5),,,,,
2020-01-07,GB_UKI,GB,United Kingdom,UKI,Greater London,,,GB,GBR,1,,,,,,,,,,,,,,,,,,,,,,,,Q23306,nuts/UKI,65606,51.5,-0.083333,POINT(-0.083333 51.5),,,,,
2020-01-08,GB_UKI,GB,United Kingdom,UKI,Greater London,,,GB,GBR,1,,,,,,,,,,,,,,,,,,,,,,,,Q23306,nuts/UKI,65606,51.5,-0.083333,POINT(-0.083333 51.5),,,,,
2020-01-09,GB_UKI,GB,United Kingdom,UKI,Greater London,,,GB,GBR,1,,,,,,,,,,,,,,,,,,,,,,,,Q23306,nuts/UKI,65606,51.5,-0.083333,POINT(-0.083333 51.5),,,,,
2020-01-10,GB_UKI,GB,United Kingdom,UKI,Greater London,,,GB,GBR,1,,,,,,,,,,,,,,,,,,,,,,,,Q23306,nuts/UKI,65606,51.5,-0.083333,POINT(-0.083333 51.5),,,,,
