date,country_name,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,mobility_transit_stations,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_residential,mobility_workplaces,latitude,longitude,location_geometry,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,school_closing,school_closing_flag,workplace_closing,workplace_closing_flag,cancel_public_events,cancel_public_events_flag,restrictions_on_gatherings,restrictions_on_gatherings_flag,close_public_transit,close_public_transit_flag,stay_at_home_requirements,stay_at_home_requirements_flag,restrictions_on_internal_movement,restrictions_on_internal_movement_flag,international_travel_controls,income_support,income_support_flag,debt_contract_relief,fiscal_measures,international_support,public_information_campaigns,public_information_campaigns_flag,testing_policy,contact_tracing,emergency_healthcare_investment,vaccine_investment,misc_wildcard,confirmed_cases,deaths,stringency_index,mobility_transit_stations_response,mobility_retail_and_recreation_response,mobility_grocery_and_pharmacy_response,mobility_parks_response,mobility_residential_response,mobility_workplaces_response
2020-02-15,United Kingdom,1,0.0,,1.0,0.0,-10.0,-11.0,-8.0,-34.0,2.0,-3.0,51.5,-0.083333,POINT(-0.083333 51.5),,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,,10.0,0.0,11.11,-9.0,-9.0,-11.0,-41.0,1.0,-4.0
2020-02-16,United Kingdom,1,0.0,,1.0,0.0,-9.0,-9.0,-11.0,-41.0,1.0,-4.0,51.5,-0.083333,POINT(-0.083333 51.5),,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,,10.0,0.0,11.11,-3.0,11.0,4.0,28.0,2.0,-13.0
2020-02-17,United Kingdom,1,0.0,,1.0,0.0,-3.0,11.0,4.0,28.0,2.0,-13.0,51.5,-0.083333,POINT(-0.083333 51.5),,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,,10.0,0.0,11.11,-4.0,4.0,-2.0,11.0,2.0,-13.0
2020-02-18,United Kingdom,1,0.0,,1.0,0.0,-4.0,4.0,-2.0,11.0,2.0,-13.0,51.5,-0.083333,POINT(-0.083333 51.5),,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,,10.0,0.0,11.11,-5.0,3.0,-3.0,3.0,3.0,-13.0
2020-02-19,United Kingdom,1,0.0,,1.0,0.0,-5.0,3.0,-3.0,3.0,3.0,-13.0,51.5,-0.083333,POINT(-0.083333 51.5),,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,,10.0,0.0,11.11,-6.0,2.0,-4.0,-4.0,3.0,-13.0
2020-02-20,United Kingdom,1,0.0,,1.0,0.0,-6.0,2.0,-4.0,-4.0,3.0,-13.0,51.5,-0.083333,POINT(-0.083333 51.5),,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,,10.0,0.0,11.11,-5.0,3.0,-1.0,10.0,3.0,-14.0
2020-02-21,United Kingdom,1,0.0,,1.0,0.0,-5.0,3.0,-1.0,10.0,3.0,-14.0,51.5,-0.083333,POINT(-0.083333 51.5),,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,,10.0,0.0,11.11,-2.0,-4.0,-3.0,-7.0,0.0,-1.0
2020-02-22,United Kingdom,1,0.0,,1.0,0.0,-2.0,-4.0,-3.0,-7.0,0.0,-1.0,51.5,-0.083333,POINT(-0.083333 51.5),,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,,10.0,0.0,11.11,1.0,-1.0,-3.0,-9.0,0.0,-1.0
2020-02-23,United Kingdom,1,0.0,,1.0,0.0,1.0,-1.0,-3.0,-9.0,0.0,-1.0,51.5,-0.083333,POINT(-0.083333 51.5),,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,,11.0,0.0,11.11,-3.0,-3.0,0.0,-1.0,1.0,-1.0
2020-02-24,United Kingdom,1,1.0,,2.0,0.0,-3.0,-3.0,0.0,-1.0,1.0,-1.0,51.5,-0.083333,POINT(-0.083333 51.5),,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,,11.0,0.0,11.11,0.0,-1.0,2.0,5.0,0.0,1.0
