date,country_name,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,mobility_transit_stations,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_residential,mobility_workplaces,latitude,longitude,location_geometry,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,school_closing,school_closing_flag,workplace_closing,workplace_closing_flag,cancel_public_events,cancel_public_events_flag,restrictions_on_gatherings,restrictions_on_gatherings_flag,close_public_transit,close_public_transit_flag,stay_at_home_requirements,stay_at_home_requirements_flag,restrictions_on_internal_movement,restrictions_on_internal_movement_flag,international_travel_controls,income_support,income_support_flag,debt_contract_relief,fiscal_measures,international_support,public_information_campaigns,public_information_campaigns_flag,testing_policy,contact_tracing,emergency_healthcare_investment,vaccine_investment,misc_wildcard,confirmed_cases,deaths,stringency_index,mobility_transit_stations_response,mobility_retail_and_recreation_response,mobility_grocery_and_pharmacy_response,mobility_parks_response,mobility_residential_response,mobility_workplaces_response
2020-02-15,United States of America,2,,,,,-1.0,2.0,-5.0,0.0,0.0,0.0,40.728333,-73.994167,POINT(-73.994167 40.728333),-5.772222,-9.738889,2.022222,0.0,,0.0,,0.0,,0.0,,1.0,0.0,0.0,,0.0,,0.0,,2.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,12.5,1.0,6.0,-2.0,4.0,0.0,-2.0
2020-02-16,United States of America,2,,,,,1.0,6.0,-2.0,4.0,0.0,-2.0,40.728333,-73.994167,POINT(-73.994167 40.728333),1.094444,-6.805556,6.911111,0.0,,0.0,,0.0,,0.0,,1.0,0.0,0.0,,0.0,,0.0,,2.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,12.5,-25.0,-5.0,-12.0,13.0,10.0,-51.0
2020-02-17,United States of America,2,,,,,-25.0,-5.0,-12.0,13.0,10.0,-51.0,40.728333,-73.994167,POINT(-73.994167 40.728333),5.722222,0.333333,10.394444,0.0254,,0.0,,0.0,,0.0,,1.0,0.0,0.0,,0.0,,0.0,,2.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,12.5,-5.0,0.0,-2.0,5.0,2.0,-6.0
2020-02-18,United States of America,2,,,,,-5.0,0.0,-2.0,5.0,2.0,-6.0,40.728333,-73.994167,POINT(-73.994167 40.728333),5.5055559999999995,2.3722220000000003,10.061111,0.0,,0.0,,0.0,,0.0,,1.0,0.0,0.0,,0.0,,0.0,,2.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,12.5,-1.0,2.0,-1.0,15.0,1.0,-4.0
2020-02-19,United States of America,2,,,,,-1.0,2.0,-1.0,15.0,1.0,-4.0,40.728333,-73.994167,POINT(-73.994167 40.728333),6.6,3.7166669999999997,9.05,0.0,,0.0,,0.0,,0.0,,1.0,0.0,0.0,,0.0,,0.0,,2.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,12.5,-1.0,3.0,-1.0,6.0,1.0,-5.0
2020-02-20,United States of America,2,,,,,-1.0,3.0,-1.0,6.0,1.0,-5.0,40.728333,-73.994167,POINT(-73.994167 40.728333),0.672222,-1.6277780000000002,7.816667,0.0254,,0.0,,0.0,,0.0,,1.0,0.0,0.0,,0.0,,0.0,,2.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,12.5,-4.0,-2.0,-5.0,-7.0,2.0,-5.0
2020-02-21,United States of America,2,,,,,-4.0,-2.0,-5.0,-7.0,2.0,-5.0,40.728333,-73.994167,POINT(-73.994167 40.728333),-2.233333,-6.161111,2.355556,0.0254,,0.0,,0.0,,0.0,,1.0,0.0,0.0,,0.0,,0.0,,2.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,12.5,5.0,6.0,4.0,25.0,-1.0,7.0
2020-02-22,United States of America,2,,,,,5.0,6.0,4.0,25.0,-1.0,7.0,40.728333,-73.994167,POINT(-73.994167 40.728333),2.638889,-4.233333,9.844444000000001,0.0,,0.0,,0.0,,0.0,,1.0,0.0,0.0,,0.0,,0.0,,2.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,12.5,1.0,0.0,2.0,18.0,-1.0,2.0
2020-02-23,United States of America,2,,,,,1.0,0.0,2.0,18.0,-1.0,2.0,40.728333,-73.994167,POINT(-73.994167 40.728333),6.616667,0.044444,12.938889,0.0254,,0.0,,0.0,,0.0,,1.0,0.0,0.0,,0.0,,0.0,,2.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,12.5,1.0,1.0,1.0,17.0,0.0,4.0
2020-02-24,United States of America,2,,,,,1.0,1.0,1.0,17.0,0.0,4.0,40.728333,-73.994167,POINT(-73.994167 40.728333),7.844444,1.494444,14.444444,0.0,,0.0,,0.0,,0.0,,1.0,0.0,0.0,,0.0,,0.0,,2.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,12.5,-1.0,-3.0,-3.0,3.0,1.0,3.0
2020-02-25,United States of America,2,,,,,-1.0,-3.0,-3.0,3.0,1.0,3.0,40.728333,-73.994167,POINT(-73.994167 40.728333),8.561111,4.283333,13.344444000000001,0.0762,,0.0,,0.0,,0.0,,1.0,0.0,0.0,,0.0,,0.0,,2.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,12.5,-1.0,-1.0,0.0,4.0,0.0,3.0
2020-02-26,United States of America,2,,,,,-1.0,-1.0,0.0,4.0,0.0,3.0,40.728333,-73.994167,POINT(-73.994167 40.728333),7.638889,6.627778,9.261111,1.9558,,0.0,,0.0,,0.0,,1.0,0.0,0.0,,0.0,,0.0,,2.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,12.5,0.0,1.0,2.0,6.0,0.0,3.0
2020-02-27,United States of America,2,,,,,0.0,1.0,2.0,6.0,0.0,3.0,40.728333,-73.994167,POINT(-73.994167 40.728333),5.6666669999999995,1.611111,8.488889,6.7056,,0.0,,0.0,,0.0,,1.0,0.0,0.0,,0.0,,0.0,,2.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,12.5,0.0,0.0,1.0,-6.0,0.0,3.0
2020-02-28,United States of America,2,,,,,0.0,0.0,1.0,-6.0,0.0,3.0,40.728333,-73.994167,POINT(-73.994167 40.728333),1.0444440000000002,-1.511111,6.161111,5.3594,,0.0,,0.0,,0.0,,1.0,0.0,0.0,,0.0,,0.0,,2.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,12.5,-1.0,1.0,2.0,-2.0,0.0,6.0
2020-02-29,United States of America,2,1.0,0.0,1.0,0.0,-1.0,1.0,2.0,-2.0,0.0,6.0,40.728333,-73.994167,POINT(-73.994167 40.728333),0.416667,-1.844444,4.761111,0.0,,0.0,,0.0,,0.0,,1.0,0.0,0.0,,0.0,,0.0,,2.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,12.5,-3.0,-3.0,2.0,-7.0,0.0,1.0
2020-03-01,United States of America,2,0.0,0.0,1.0,0.0,-3.0,-3.0,2.0,-7.0,0.0,1.0,40.728333,-73.994167,POINT(-73.994167 40.728333),0.022222,-3.688889,6.816667,0.0,,0.0,,0.0,,0.0,,1.0,0.0,0.0,,0.0,,0.0,,2.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,12.5,-3.0,3.0,6.0,17.0,0.0,4.0
