date,location_key,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested,new_hospitalized_patients,new_intensive_care_patients,new_ventilator_patients,cumulative_hospitalized_patients,cumulative_intensive_care_patients,cumulative_ventilator_patients,current_hospitalized_patients,current_intensive_care_patients,current_ventilator_patients,mobility_transit_stations,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_residential,mobility_workplaces,wikidata_id,datacommons_id,openstreetmap_id,latitude,longitude,location_geometry,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm
2020-01-01,US_NY_36061,US,United States of America,NY,New York,36061,New York County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,Q11299,geoId/36061,8398124,40.728333,-73.994167,POINT(-73.994167 40.728333),4.122222,2.55,7.088889,0.254,
2020-01-02,US_NY_36061,US,United States of America,NY,New York,36061,New York County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,Q11299,geoId/36061,8398124,40.728333,-73.994167,POINT(-73.994167 40.728333),3.438889,-0.405556,9.222222,0.1016,
2020-01-03,US_NY_36061,US,United States of America,NY,New York,36061,New York County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,Q11299,geoId/36061,8398124,40.728333,-73.994167,POINT(-73.994167 40.728333),7.427778,3.033333,9.033333,0.5842,
2020-01-04,US_NY_36061,US,United States of America,NY,New York,36061,New York County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,Q11299,geoId/36061,8398124,40.728333,-73.994167,POINT(-73.994167 40.728333),8.516667,6.505556,10.161111,4.572,
2020-01-05,US_NY_36061,US,United States of America,NY,New York,36061,New York County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,Q11299,geoId/36061,8398124,40.728333,-73.994167,POINT(-73.994167 40.728333),4.966667,2.772222,10.327778,0.254,
2020-01-06,US_NY_36061,US,United States of America,NY,New York,36061,New York County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,Q11299,geoId/36061,8398124,40.728333,-73.994167,POINT(-73.994167 40.728333),2.916667,-0.2,7.127778,0.4318,30.48
2020-01-07,US_NY_36061,US,United States of America,NY,New York,36061,New York County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,Q11299,geoId/36061,8398124,40.728333,-73.994167,POINT(-73.994167 40.728333),4.683333,1.177778,6.927778,0.0,30.48
2020-01-08,US_NY_36061,US,United States of America,NY,New York,36061,New York County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,Q11299,geoId/36061,8398124,40.728333,-73.994167,POINT(-73.994167 40.728333),2.511111,0.194444,6.105556,0.0762,
2020-01-09,US_NY_36061,US,United States of America,NY,New York,36061,New York County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,Q11299,geoId/36061,8398124,40.728333,-73.994167,POINT(-73.994167 40.728333),-1.683333,-4.505556,4.366667,0.0,
2020-01-10,US_NY_36061,US,United States of America,NY,New York,36061,New York County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,Q11299,geoId/36061,8398124,40.728333,-73.994167,POINT(-73.994167 40.728333),4.205556,-2.8,12.183333,0.0,
